PlaylistId,PlaylistName,TrackName,Composer,track_revenue
5,90’s Music,"""Aria Mit 30 Veränderungen, BWV 988 """"Goldberg Variations"""": Aria""",Johann Sebastian Bach,0.0
5,90’s Music,"""Die Zauberflöte, K.620: """"Der Hölle Rache Kocht in Meinem Herze""""""",Wolfgang Amadeus Mozart,0.0
5,90’s Music,"""Nabucco: Chorus, """"Va",2,0.0
5,90’s Music,"""Nimrod (Adagio) from Variations On an Original Theme, Op. 36 """"Enigma""""""",Edward Elgar,0.0
5,90’s Music,"""Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, """"Moonlight"""": I. Adagio sostenuto""",Ludwig van Beethoven,0.99
5,90’s Music,"""Symphony No. 3 Op. 36 for Orchestra and Soprano """"Symfonia Piesni Zalosnych"""" \ Lento E Largo - Tranquillissimo""",Henryk Górecki,0.99
5,90’s Music,"""Symphony No. 3 in E-flat major, Op. 55, """"Eroica"""" - Scherzo: Allegro Vivace""",Ludwig van Beethoven,0.0
5,90’s Music,"""Symphony No. 41 in C Major, K. 551, """"Jupiter"""": IV. Molto allegro""",Wolfgang Amadeus Mozart,0.99
5,90’s Music,"""Texto """"Verdade Tropical""""""",Caetano Veloso,0.99
5,90’s Music,(Da Le) Yaleo,Santana,0.0
5,90’s Music,(I Can't Help) Falling In Love With You,,0.0
5,90’s Music,(White Man) In Hammersmith Palais,Joe Strummer/Mick Jones,0.99
5,90’s Music,100% HardCore,,0.0
5,90’s Music,14 Years,Izzy Stradlin'/W. Axl Rose,0.99
5,90’s Music,16 Toneladas,,0.0
5,90’s Music,1979,Billy Corgan,0.0
5,90’s Music,1º De Julho,Renato Russo,0.0
5,90’s Music,2 A.M.,Blaze Bayley/Janick Gers/Steve Harris,0.99
5,90’s Music,2 Minutes To Midnight,Adrian Smith/Bruce Dickinson,0.99
5,90’s Music,2 Minutes To Midnight,Adrian Smith/Bruce Dickinson,0.0
5,90’s Music,2 X 4,"James Hetfield, Lars Ulrich, Kirk Hammett",0.99
5,90’s Music,"2,000 Man","Mick Jagger, Keith Richard",0.0
5,90’s Music,20 Flight Rock,Ned Fairchild,0.0
5,90’s Music,2112 Overture,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,0.0
5,90’s Music,32 Dentes,Titãs,0.99
5,90’s Music,A Carta,"Djavan - Gabriel, O Pensador",0.0
5,90’s Music,A Castle Full Of Rascals,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",0.0
5,90’s Music,A Cor Do Sol,Bernardo Vilhena/Da Gama/Lazao,0.0
5,90’s Music,A Different Kind Of Blue,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",0.0
5,90’s Music,A Estrada,Da Gama/Lazao/Toni Garrido,0.0
5,90’s Music,A Luz De Tieta,Caetano Veloso,0.0
5,90’s Music,A Melhor Forma,Titãs,1.98
5,90’s Music,"A Midsummer Night's Dream, Op.61 Incidental Music: No.7 Notturno",,0.99
5,90’s Music,A New Flame,Mick Hucknall,0.0
5,90’s Music,A Novidade,Gilberto Gil,0.0
5,90’s Music,A Novidade (Live),,1.98
5,90’s Music,A Paz,Gilberto Gil,0.99
5,90’s Music,A Room At The Heartbreak Hotel,U2,0.0
5,90’s Music,A Rua,,0.0
5,90’s Music,A Small Victory,,0.99
5,90’s Music,A Sombra Da Maldade,Da Gama/Toni Garrido,0.0
5,90’s Music,A Statistic,,0.99
5,90’s Music,A Sua,Rodolfo,0.99
5,90’s Music,A Tarde,,0.0
5,90’s Music,A Touch Away,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",0.99
5,90’s Music,A Twist In The Tail,roger glover,0.99
5,90’s Music,A Via Láctea,Renato Russo,0.0
5,90’s Music,A World Without Heroes,"Paul Stanley, Gene Simmons, Bob Ezrin, Lewis Reed",0.0
5,90’s Music,Absolute Zero,"Mike Bordin, Billy Gould, Mike Patton",0.0
5,90’s Music,Acelerou,Djavan,0.99
5,90’s Music,Acelerou,,0.99
5,90’s Music,Acrobat,U2,0.99
5,90’s Music,Action,,0.99
